raw_comp_writers_text,CLEAN_TEXT,split_phrases
Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne,Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne,"['Colson Baker', 'Derek “MOD SUN” Smith', 'John Feldmann', 'Avril Lavigne']"
Palito Ortega/Dino Ramos,Palito Ortega/Dino Ramos,"['Palito Ortega', 'Dino Ramos']"
May/Taylor/Waller/Lupus Music Company Ltd,May/Taylor/Waller,"['May', 'Taylor', 'Waller', 'Lupus Music Company Ltd']"
Brian Casey/Brandon Casey/Jermaine Dupri/Bryan-Michael Cox,Brian Casey/Brandon Casey/Jermaine Dupri/Bryan-Michael Cox,"['Brian Casey', 'Brandon Casey', 'Jermaine Dupri', 'Bryan-Michael Cox']"
Krishan Nelson,Krishan Nelson,['Krishan Nelson']
David Tesar,David Tesar,['David Tesar']
Bishop Owen Dwyer,Bishop Owen Dwyer,['Bishop Owen Dwyer']
Yuno Miles,Yuno Miles,['Yuno Miles']
CA JEFFRIES BRIAN H/CA TUCKER KEITH/PA DJ GODFATHER & K-1,JEFFRIES/BRIAN/H/TUCKER/KEITH/PA/DJ/GODFATHER/&/K-1,"['CA JEFFRIES BRIAN H', 'CA TUCKER KEITH', 'PA DJ GODFATHER', 'K-1']"
藤江潤士,,['藤江潤士']
Pete Nappi/Jon Bellion/Jimmie Gutch/Gregory Aldae Hein/Leigh-Anne Pinnock/Jonathan David Bellion,Pete Nappi/Jon Bellion/Jimmie Gutch/Aldae Hein/Leigh-Anne Pinnock,"['Pete Nappi', 'Jon Bellion', 'Jimmie Gutch', 'Gregory Aldae Hein', 'Leigh-Anne Pinnock', 'Jonathan David Bellion']"
Jason Wade/Nathan Nockels,Jason Wade/Nathan Nockels,"['Jason Wade', 'Nathan Nockels']"
Lyle Mays & Pat Metheny,Lyle Mays/ Pat Metheny,"['Lyle Mays', 'Pat Metheny']"
Martyn Stewart/Copyright Control/We Are On Purpose,Martyn Stewart/We Are On Purpose,"['Martyn Stewart', 'Copyright Control', 'We Are On Purpose']"
Donovan Edjuan Jarrett,Donovan Edjuan Jarrett,['Donovan Edjuan Jarrett']
Marco Antonio Solís,Marco Antonio Solís,['Marco Antonio Solís']
"<Unknown>/Mathieu, Kyleren Thomas",Mathieu/Kyleren/Thomas,"['<Unknown>', 'Mathieu', 'Kyleren Thomas']"
Michele Banfi/Riccardo Marino/Lorenzo Gabriele Ruggiero/Loris Laugelli/Marco Balzano/Federico La Torre,Michele Banfi/Riccardo Marino/Lorenzo Gabriele Ruggiero/Loris Laugelli/Marco Balzano/Federico La Torre,"['Michele Banfi', 'Riccardo Marino', 'Lorenzo Gabriele Ruggiero', 'Loris Laugelli', 'Marco Balzano', 'Federico La Torre']"
Christian Colberg,Christian Colberg,['Christian Colberg']
R.E.M./Peter Buck/Scott Litt/Michael Mills/Michael Stipe/William Berry,R.E.M./Peter Buck/Scott Litt/Michael Mills/Michael Stipe/William Berry,"['R.E.M.', 'Peter Buck', 'Scott Litt', 'Michael Mills', 'Michael Stipe', 'William Berry']"
Litto Nebbia,Litto Nebbia,['Litto Nebbia']
Donnacha Dennehy,Donnacha Dennehy,['Donnacha Dennehy']
"Nora Istrefi,Mimoza Shkodra,Skivi",Nora Istrefi/Mimoza Shkodra/Skivi,"['Nora Istrefi', 'Mimoza Shkodra', 'Skivi']"
Jaisin Patel,Jaisin Patel,['Jaisin Patel']
"<Unknown>/Blac, Scoota",Blac/Scoota,"['<Unknown>', 'Blac', 'Scoota']"
Steve Jablonsky,Steve Jablonsky,['Steve Jablonsky']
"Santhosh Narayanan, Kabilan & Vivek",Santhosh Narayanan/Kabilan/Vivek,"['Santhosh Narayanan', 'Kabilan', 'Vivek']"
Olli (Funk),Olli/Funk,"['Olli', 'Funk']"
Curren$y,Curren$y,['Curren$y']
Nikhil-Vinay,Nikhil-Vinay,['Nikhil-Vinay']
J. Ortiz/Backstage-Records/Julián Pérez Díaz,Julián Pérez Díaz,"['J. Ortiz', 'Backstage-Records', 'Julián Pérez Díaz']"
Will Sellenraad,Will Sellenraad,['Will Sellenraad']
Ermanno Wolf-Ferrari,Ermanno Wolf-Ferrari,['Ermanno Wolf-Ferrari']
Nguyên Thảo/Giao Tiên/Mạnh Quỳnh,,"['Nguyên Thảo', 'Giao Tiên', 'Mạnh Quỳnh']"
A GRZESZCZAK SYLWIA KAROLINA/A PIOTROWSKI MARCIN PAWEL/C GRABOWSKI DOMINIK RADOSLAW/C ZAREBSKI MACIEJ/PA LIBER & SYLWIA GRZESZCZAK,PIOTROWSKI/MARCIN/PAWEL/C/GRABOWSKI/DOMINIK/RADOSLAW/C/ZAREBSKI/MACIEJ/PA/LIBER/&/SYLWIA/GRZESZCZAK,"['A GRZESZCZAK SYLWIA KAROLINA', 'A PIOTROWSKI MARCIN PAWEL', 'C GRABOWSKI DOMINIK RADOSLAW', 'C ZAREBSKI MACIEJ', 'PA LIBER', 'SYLWIA GRZESZCZAK']"
"<Unknown>/Kim, Mike",Kim/Mike,"['<Unknown>', 'Kim', 'Mike']"
"Rachel Campus, Lucas Dellaporta, Ryan Murphy, Rebecca Fitting & Jordie Kimball",Rachel Campus/Lucas Dellaporta/Ryan Murphy/Rebecca Fitting/Jordie Kimball,"['Rachel Campus', 'Lucas Dellaporta', 'Ryan Murphy', 'Rebecca Fitting', 'Jordie Kimball']"
Lars Vaular/Thomas Eriksen,Lars Vaular/Thomas Eriksen,"['Lars Vaular', 'Thomas Eriksen']"
"<Unknown>/Braunstein, William",Braunstein/William,"['<Unknown>', 'Braunstein', 'William']"
narodnaja,narodnaja,['narodnaja']
twin janky 800,,['twin janky 800']
Manuel Eduardo Castro,Manuel Eduardo Castro,['Manuel Eduardo Castro']
Josh Mancell,,['Josh Mancell']
Tom MacDonald,Tom MacDonald,['Tom MacDonald']
Edward O'Sullivan Lee,Edward O'Sullivan Lee,"[""Edward O'Sullivan Lee""]"
Sutton Kelley,Sutton Kelley,['Sutton Kelley']
Ian Brown/John Leckie/John Squire,Ian Brown/John Leckie/John Squire,"['Ian Brown', 'John Leckie', 'John Squire']"
"Rob ""Razor"" Kellman/Peter Presta",,"['Rob ""Razor"" Kellman', 'Peter Presta']"
"Raygun Busch,Cap’n Ron,Stin,Luther Manhole",Raygun Busch/Cap’n Ron/Stin/Luther Manhole,"['Raygun Busch', 'Cap’n Ron', 'Stin', 'Luther Manhole']"
Maksim Klimovich,Maksim Klimovich,['Maksim Klimovich']
Adrian Gusman Reyez,Adrian Gusman Reyez,['Adrian Gusman Reyez']
"<Unknown>/Payne, Sean",Payne/Sean,"['<Unknown>', 'Payne', 'Sean']"
JS Bach,JS Bach,['JS Bach']
Abdel Karim Mahyoob,Abdel Karim Mahyoob,['Abdel Karim Mahyoob']
Riccardo Falconelli,Riccardo Falconelli,['Riccardo Falconelli']
& ROID MYTH,ROID/MYTH,['ROID MYTH']
Ingested/Nico Beninato/Unique Leader Records,Ingested,"['Ingested', 'Nico Beninato', 'Unique Leader Records']"
Ariel Contreras-Esquivel,Ariel Contreras-Esquivel,['Ariel Contreras-Esquivel']
MERCER CHRISTOPHER WILLIAM,MERCER/CHRISTOPHER/WILLIAM,['MERCER CHRISTOPHER WILLIAM']
Bjørn Torske/Ole Mjøs/Rune Lindbæk,Bjørn Torske/Ole Mjøs/Rune Lindbæk,"['Bjørn Torske', 'Ole Mjøs', 'Rune Lindbæk']"
Арсен Ширинян,,['Арсен Ширинян']
Benito Lara Ramirez,Benito Lara Ramirez,['Benito Lara Ramirez']
Schreiner/Denis Hurst/Cliff Brittle/Ebbe Nilsson/Karl-Axel Svensson,Schreiner/Denis Hurst/Cliff Brittle/Ebbe Nilsson/Karl-Axel Svensson,"['Schreiner', 'Denis Hurst', 'Cliff Brittle', 'Ebbe Nilsson', 'Karl-Axel Svensson']"
David Prowse/Brian Andrew King,David Prowse/Brian Andrew King,"['David Prowse', 'Brian Andrew King']"
António Pedro Neves,,['António Pedro Neves']
Rudolf Schenker/Klaus Meine,Rudolf Schenker/Klaus Meine,"['Rudolf Schenker', 'Klaus Meine']"
Tom Paxton,Tom Paxton,['Tom Paxton']
Ken Alberti/Alicia Stamkos/Nicolas Chapelan,Ken Alberti/Alicia Stamkos/Nicolas Chapelan,"['Ken Alberti', 'Alicia Stamkos', 'Nicolas Chapelan']"
Ajay-Atul,Ajay/Atul,['Ajay-Atul']
Benjamin Israel,Benjamin Israel,['Benjamin Israel']
Rich the Factor,Rich the Factor,['Rich the Factor']
たかやん (Takayan),Takayan,"['たかやん', 'Takayan']"
Leonard Cohen/SONY/ATV MUSIC PUBLISHING LLC,Leonard Cohen,"['Leonard Cohen', 'SONY', 'ATV MUSIC PUBLISHING LLC']"
normal the kid/Liam Richard Sass/normal the kid publishing,normal the kid/Liam Richard Sass,"['normal the kid', 'Liam Richard Sass', 'normal the kid publishing']"
Nikol Mammou Nounies,Nikol Mammou Nounies,['Nikol Mammou Nounies']
Brad Carroll/Peter Sham,Brad Carroll/Peter Sham,"['Brad Carroll', 'Peter Sham']"
Michael Werner Maas,Michael Werner Maas,['Michael Werner Maas']
Lee SooHyun,Lee SooHyun,['Lee SooHyun']
Amit Trivedi/Amitabh Bhattacharya,Amit Trivedi/Amitabh Bhattacharya,"['Amit Trivedi', 'Amitabh Bhattacharya']"
The Knife,The Knife,['The Knife']
Simon Oakley,Simon Oakley,['Simon Oakley']
solomon lange,solomon lange,['solomon lange']
Ryan Ross/Spencer Smith/Brendon Urie,,"['Ryan Ross', 'Spencer Smith', 'Brendon Urie']"
Joshua Hodges,Joshua Hodges,['Joshua Hodges']
Gilbert de Berneville,Gilbert de Berneville,['Gilbert de Berneville']
Yng Lvcas,Yng Lvcas,['Yng Lvcas']
John Spinks,John Spinks,['John Spinks']
Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf,Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf,"['Joachim Wolf', 'Achim Radloff', 'Beatrice Egli', 'Joachim Hans Wolf']"
Oliver Sohn,Oliver Sohn,['Oliver Sohn']
Leroy Junior Russell & Leah Antoinette,Leroy Junior Russell /Leah Antoinette,"['Leroy Junior Russell', 'Leah Antoinette']"
Cesareo Azurmendi Gabarain/Stanisław Szmidt,Cesareo Azurmendi Gabarain/Stanisław Szmidt,"['Cesareo Azurmendi Gabarain', 'Stanisław Szmidt']"
Oddisee,Oddisee,['Oddisee']
H.Cochran/Copyright Control,H.Cochran,"['H.Cochran', 'Copyright Control']"
Reyn Ouwehand,Reyn Ouwehand,['Reyn Ouwehand']
Oswald Henke,,['Oswald Henke']
Shakir Zeb,Shakir Zeb,['Shakir Zeb']
Kord helvettinen,Kord helvettinen,['Kord helvettinen']
Lars Ulrich/James Hetfield,Lars Ulrich/James Hetfield,"['Lars Ulrich', 'James Hetfield']"
Roger Glover/Ian Gillan/Ritchie Blackmore,Roger Glover/Ian Gillan/Ritchie Blackmore,"['Roger Glover', 'Ian Gillan', 'Ritchie Blackmore']"
Владимир Клявин,,['Владимир Клявин']
Gelson Simão Fidalgo Antônio,Gelson Simão Fidalgo Antônio,['Gelson Simão Fidalgo Antônio']
"<Unknown>/Ramakrishnan, Sairuban",Ramakrishnan/Sairuban,"['<Unknown>', 'Ramakrishnan', 'Sairuban']"
Ricardo Realpe,Ricardo Realpe,['Ricardo Realpe']
"Mark Isham/Twenty Fifteen Boulevard Music, Inc. (BMI)",Mark Isham,"['Mark Isham', 'Twenty Fifteen Boulevard Music', 'Inc.', 'BMI']"
#UNKNOWN#,,['#UNKNOWN#']
Sesame Workshop,Sesame Workshop,['Sesame Workshop']
Pat Boone/Ernest Gold,Pat Boone/Ernest Gold,"['Pat Boone', 'Ernest Gold']"
"Danny Sczebel, Jonathon Young, Timothy Koziol, Carla Young, Taresa Knuit, Angela Sirois, Gaven Sirois & Bryar Strutt",Danny Sczebel/Jonathon Young/Timothy Koziol/Carla Young/Taresa Knuit/Angela Sirois/Gaven Sirois/Bryar Strutt,"['Danny Sczebel', 'Jonathon Young', 'Timothy Koziol', 'Carla Young', 'Taresa Knuit', 'Angela Sirois', 'Gaven Sirois', 'Bryar Strutt']"
Robert John “Mutt” Lange/Phil Collen/Joe Elliott/Steve Clark,Robert John “Mutt” Lange/Phil Collen/Joe Elliott/Steve Clark,"['Robert John “Mutt” Lange', 'Phil Collen', 'Joe Elliott', 'Steve Clark']"
Riccardo Luppi/Antonello Salis/Paolino Dalla Porta/Federico Sanesi,Riccardo Luppi/Antonello Salis/Paolino Dalla Porta/Federico Sanesi,"['Riccardo Luppi', 'Antonello Salis', 'Paolino Dalla Porta', 'Federico Sanesi']"
Andrea Lazzaretti,Andrea Lazzaretti,['Andrea Lazzaretti']
Richard Strauss/Hermann von Gilm zu Rosenegg,Richard Strauss/Hermann von Gilm zu Rosenegg,"['Richard Strauss', 'Hermann von Gilm zu Rosenegg']"
Sondre Lerche,Sondre Lerche,['Sondre Lerche']
Art Rupe/Bumps Blackwell/Richard Penniman,Richard Penniman,"['Art Rupe', 'Bumps Blackwell', 'Richard Penniman']"
"Warner Chappell Production Music GmbH/Gregory Whei Zhe Tan, Daphne Khoo Pheng Yi",Gregory Whei Zhe Tan/Daphne Khoo Pheng Yi,"['Warner Chappell Production Music GmbH', 'Gregory Whei Zhe Tan', 'Daphne Khoo Pheng Yi']"
カナコ,,['カナコ']
Tomáš Smrek & Traditional Song,Tomáš Smrek,"['Tomáš Smrek', 'Traditional Song']"
Zeritu Kebede,Zeritu Kebede,['Zeritu Kebede']
Azra Yünlü,Azra Yünlü,['Azra Yünlü']
SwampKat & The Compound,SwampKat/The Compound,"['SwampKat', 'The Compound']"
Steven Andrew Mcdonald,,['Steven Andrew Mcdonald']
George Gershwin,George Gershwin,['George Gershwin']
Slajf Slajfsson,Slajf Slajfsson,['Slajf Slajfsson']
Jay Fizzle,Jay Fizzle,['Jay Fizzle']
Zeki Müren,,['Zeki Müren']
Alma Milford & Hollywood Kilo,Alma Milford/Hollywood Kilo,"['Alma Milford', 'Hollywood Kilo']"
芳賀敬太,,['芳賀敬太']
Ingo ohne Flamingo & Ben Louis Thiele,Ingo ohne Flamingo/Ben Louis Thiele,"['Ingo ohne Flamingo', 'Ben Louis Thiele']"
Peter McConnell,Peter McConnell,['Peter McConnell']
Bear McCreary,Bear McCreary,['Bear McCreary']
Jimi Hendrix,Jimi Hendrix,['Jimi Hendrix']
Fernanda Barbosa Takai/Joao Daniel Ulhoa,Fernanda Barbosa Takai/Joao Daniel Ulhoa,"['Fernanda Barbosa Takai', 'Joao Daniel Ulhoa']"
Chet Atkins/Bergen White/Bob Ferguson/N. Serradell,Chet Atkins/Bergen White/Bob Ferguson/N. Serradell,"['Chet Atkins', 'Bergen White', 'Bob Ferguson', 'N. Serradell']"
Antonio Henderson,Antonio Henderson,['Antonio Henderson']
Smook Deville/Darion Washington,Smook Deville/Darion Washington,"['Smook Deville', 'Darion Washington']"
Zé Paulo/Tonho Matéria,Zé Paulo/Tonho Matéria,"['Zé Paulo', 'Tonho Matéria']"
Clark,,['Clark']
Copyright Control/Hank Williams/Hank Hiriam Williams/Acuff-Rose Music Ltd./SONY/ATV ACUFF ROSE MUSIC,Hank Williams/Hank Hiriam Williams,"['Copyright Control', 'Hank Williams', 'Hank Hiriam Williams', 'Acuff-Rose Music Ltd.', 'SONY', 'ATV ACUFF ROSE MUSIC']"
강우경/박현암,,"['강우경', '박현암']"
Bouchra Elm/Ahmed Houssainy/Copyright Control,Bouchra Elm/Ahmed Houssainy,"['Bouchra Elm', 'Ahmed Houssainy', 'Copyright Control']"
Hermenegildo Garcia,Hermenegildo Garcia,['Hermenegildo Garcia']
Scorey,Scorey,['Scorey']
Lil Tracy,Lil Tracy,['Lil Tracy']
Gustavo Siqueira/Pedro Ramos/Lucas Coji/Sruthi Kanth/Sitar Xavier,Gustavo Siqueira/Pedro Ramos/Lucas Coji/Sruthi Kanth/Sitar Xavier,"['Gustavo Siqueira', 'Pedro Ramos', 'Lucas Coji', 'Sruthi Kanth', 'Sitar Xavier']"
Disean Victor,Disean Victor,['Disean Victor']
Pappu Ravidas & Sikandar Kumar,Pappu Ravidas/Sikandar Kumar,"['Pappu Ravidas', 'Sikandar Kumar']"
CO3,CO3,['CO3']
Bobby Moon & 위더베스트,Bobby Moon,"['Bobby Moon', '위더베스트']"
Vladislav Nikolaevich Osetrov/Kamazz Denis Alekseevich,Vladislav Nikolaevich Osetrov/Kamazz Denis Alekseevich,"['Vladislav Nikolaevich Osetrov', 'Kamazz Denis Alekseevich']"
Andreas Martin-Krause/Michael Dorth/Bernd Meinunger,Andreas Martin-Krause/Michael Dorth/Bernd Meinunger,"['Andreas Martin-Krause', 'Michael Dorth', 'Bernd Meinunger']"
"<Unknown>/Antoine, Katoto Luhembe",Antoine/Katoto Luhembe,"['<Unknown>', 'Antoine', 'Katoto Luhembe']"
Johann Sebastian Bach,Johann Sebastian Bach,['Johann Sebastian Bach']
GXNE GXNE,,['GXNE GXNE']
Commissioner Gordon/Chris Kirby/Matt Andersen,Commissioner Gordon/Chris Kirby/Matt Andersen,"['Commissioner Gordon', 'Chris Kirby', 'Matt Andersen']"
Herry Sutresna/Ridwan Gunawan/Fajar Nurmanto,Herry Sutresna/Ridwan Gunawan/Fajar Nurmanto,"['Herry Sutresna', 'Ridwan Gunawan', 'Fajar Nurmanto']"
"AEPI/Hamburge, Darjean/Hamburge, Darjean, Sevi Tiliakou",,"['AEPI', 'Hamburge', 'Darjean', 'Hamburge', 'Darjean', 'Sevi Tiliakou']"
Alban Berg,,['Alban Berg']
John Newton/John Pfeiffer,John Newton/John Pfeiffer,"['John Newton', 'John Pfeiffer']"
Ballard MacDonald/George Gershwin/Buddy DeSylva,Ballard MacDonald/George Gershwin/Buddy DeSylva,"['Ballard MacDonald', 'George Gershwin', 'Buddy DeSylva']"
Ade Blacow,Ade Blacow,['Ade Blacow']
Samuel Coleridge-taylor,Samuel Coleridge-taylor,['Samuel Coleridge-taylor']
Stanislav Zarinov & Sergey Komarov,Stanislav Zarinov/Sergey Komarov,"['Stanislav Zarinov', 'Sergey Komarov']"
BBG YaYa,BBG YaYa,['BBG YaYa']
Huda Hudia & DJ Fixx,Huda Hudia/DJ Fixx,"['Huda Hudia', 'DJ Fixx']"
Tino Geiser/Luis Mircoli/Jorge Garcia Castil,Tino Geiser/Luis Mircoli/Jorge Garcia Castil,"['Tino Geiser', 'Luis Mircoli', 'Jorge Garcia Castil']"
Alf Terje Hana,Alf Terje Hana,['Alf Terje Hana']
Niki Reiser,Niki Reiser,['Niki Reiser']
Jean-Pierre Guézec,Jean-Pierre Guézec,['Jean-Pierre Guézec']
Woss Ness,Woss Ness,['Woss Ness']
"<Unknown>/Glueckauf, Aaron",Glueckauf/Aaron,"['<Unknown>', 'Glueckauf', 'Aaron']"
Marquez Louder,Marquez Louder,['Marquez Louder']
"Rosado, Erasmo",Rosado/Erasmo,"['Rosado', 'Erasmo']"
BUFF THOMAS/LENZ SARAH MARION,,"['BUFF THOMAS', 'LENZ SARAH MARION']"
Defsoul/Yugyeom/Stainboys/Park Seulgi/Go Younghwan,Defsoul/Yugyeom/Stainboys/Park Seulgi/Go Younghwan,"['Defsoul', 'Yugyeom', 'Stainboys', 'Park Seulgi', 'Go Younghwan']"
Sameer,Sameer,['Sameer']
Guy Lobé,,['Guy Lobé']
Esa Ruoho,Esa Ruoho,['Esa Ruoho']
Roy Engel/Nitzan Schachaf,Roy Engel/Nitzan Schachaf,"['Roy Engel', 'Nitzan Schachaf']"
"<Unknown>/Tonks, Simon",Tonks/Simon,"['<Unknown>', 'Tonks', 'Simon']"
姜雨涵 & 刘婷,,"['姜雨涵', '刘婷']"
חיטמן וטהר לב,,['חיטמן וטהר לב']
BENZO,BENZO,['BENZO']
L. Chandler/John Hammond,L. Chandler/John Hammond,"['L. Chandler', 'John Hammond']"
藤末　樹,,['藤末\u3000樹']
Joshua Powell,Joshua Powell,['Joshua Powell']
Justin Lee Ard,Justin Lee Ard,['Justin Lee Ard']
Svavar Knútur,Svavar Knútur,['Svavar Knútur']
Helena Hauff,Helena Hauff,['Helena Hauff']
Will Jennings/Big D The Impossible/2Pac/Joe Sample,,"['Will Jennings', 'Big D The Impossible', '2Pac', 'Joe Sample']"
Fred Hasson/Marsupilami/Ricky Hicks/Leary Hasson/Dave Laverock/Mike Fouracre/Peter Bardens/Jessica Stanley-Clarke,Fred Hasson/Marsupilami/Ricky Hicks/Leary Hasson/Dave Laverock/Mike Fouracre/Jessica Stanley-Clarke,"['Fred Hasson', 'Marsupilami', 'Ricky Hicks', 'Leary Hasson', 'Dave Laverock', 'Mike Fouracre', 'Peter Bardens', 'Jessica Stanley-Clarke']"
Stephan Haeri/Charles Dumont/Télépopmusik/Angela McCluskey/Christophe Hetier,Stephan Haeri/Charles Dumont/Télépopmusik/Angela McCluskey/Christophe Hetier,"['Stephan Haeri', 'Charles Dumont', 'Télépopmusik', 'Angela McCluskey', 'Christophe Hetier']"
Keith Forsey/Charlie Sexton,Keith Forsey/Charlie Sexton,"['Keith Forsey', 'Charlie Sexton']"
Yann Gonzales/Anthony Gonzalez,Yann Gonzales/Anthony Gonzalez,"['Yann Gonzales', 'Anthony Gonzalez']"
Zang/Tandima Production,,"['Zang', 'Tandima Production']"
Harry Beckett,Harry Beckett,['Harry Beckett']
Kutta Sag/Breexy Knock,Kutta Sag/Breexy Knock,"['Kutta Sag', 'Breexy Knock']"
BUDDY & MARY MCCLUSKEY/ERASMO CARLOS/ROBERTO CARLOS,BUDDY & MARY MCCLUSKEY/ERASMO CARLOS/ROBERTO CARLOS,"['BUDDY', 'MARY MCCLUSKEY', 'ERASMO CARLOS', 'ROBERTO CARLOS']"
Eddie Hultqvist,Eddie Hultqvist,['Eddie Hultqvist']
H. Doobie Powell,H. Doobie Powell,['H. Doobie Powell']
"<Unknown>/Viola, Lisa Santos",Viola/Lisa/Santos,"['<Unknown>', 'Viola', 'Lisa Santos']"
Giant Rooks,Giant Rooks,['Giant Rooks']
Nile Rodgers/Bernard Edwards,Nile Rodgers/Bernard Edwards,"['Nile Rodgers', 'Bernard Edwards']"
Ross Lovegrove/William Westwood/Sonoton Music GmbH & Co. KG/Figurata Music GmbH & Co. KG,Ross Lovegrove/William Westwood,"['Ross Lovegrove', 'William Westwood', 'Sonoton Music GmbH', 'Co. KG', 'Figurata Music GmbH', 'Co. KG']"
Tillmann Uhrmacher/Stefan Fornaro,Tillmann Uhrmacher/Stefan Fornaro,"['Tillmann Uhrmacher', 'Stefan Fornaro']"
Nicolas Chapelan/Ken Alberti/Femke Weidema/Henri Peiffer/Jordan Grace,Nicolas Chapelan/Ken Alberti/Femke Weidema/Henri Peiffer/Jordan Grace,"['Nicolas Chapelan', 'Ken Alberti', 'Femke Weidema', 'Henri Peiffer', 'Jordan Grace']"
Salah Moujahid & Amine Nagi,Salah/Moujahid/Amine/Nagi,"['Salah Moujahid', 'Amine Nagi']"
Gumercindo Palacios,Gumercindo Palacios,['Gumercindo Palacios']
"K9MadeIt,Polo G,KDMadeIt",K9MadeIt/Polo G/KDMadeIt,"['K9MadeIt', 'Polo G', 'KDMadeIt']"
Maleev Dmitry/Copyright Control,Maleev Dmitry,"['Maleev Dmitry', 'Copyright Control']"
The Alchemist,The Alchemist,['The Alchemist']
Greg Barry/Duncan Lyall/Euan Smillie/Seth Tinsley/Alasdair Taylor/Copyright Control,Greg Barry/Duncan Lyall/Euan Smillie/Seth Tinsley/Alasdair Taylor,"['Greg Barry', 'Duncan Lyall', 'Euan Smillie', 'Seth Tinsley', 'Alasdair Taylor', 'Copyright Control']"
Alpha Records,,['Alpha Records']
MAXIMILIAN LOPP,MAXIMILIAN LOPP,['MAXIMILIAN LOPP']
Bill Callahan,Bill Callahan,['Bill Callahan']
Maud Geffray/Sébastien Fouble/Sébastien Chenut,Maud Geffray/Sébastien Fouble/Sébastien Chenut,"['Maud Geffray', 'Sébastien Fouble', 'Sébastien Chenut']"
keeno,keeno,['keeno']
"St. Mary,Reo Cragun",St. Mary/Reo Cragun,"['St. Mary', 'Reo Cragun']"
Stuart A. Staples,Stuart A. Staples,['Stuart A. Staples']
R. Cazzoli/Mieczyslaw Wojnicki,R. Cazzoli/Mieczyslaw Wojnicki,"['R. Cazzoli', 'Mieczyslaw Wojnicki']"
Anastasia Kristensen/Sentric / Black Rock,Anastasia Kristensen,"['Anastasia Kristensen', 'Sentric', 'Black Rock']"
Ian Cowell/Nick Galvez,Ian Cowell/Nick Galvez,"['Ian Cowell', 'Nick Galvez']"
Timothy Alan Kasparek,Timothy Alan Kasparek,['Timothy Alan Kasparek']
Kuildery Guerreiro/Music Ben Edições/Luanzinho Cantor Oficial,,"['Kuildery Guerreiro', 'Music Ben Edições', 'Luanzinho Cantor Oficial']"
Skull Diver & Thomas Gardell,Skull Diver /Thomas Gardell,"['Skull Diver', 'Thomas Gardell']"
Wolfram Graul,Wolfram Graul,['Wolfram Graul']
George Harrison,George Harrison,['George Harrison']
Bilal Dj Bilal Aliouane,Bilal Dj Bilal Aliouane,['Bilal Dj Bilal Aliouane']
Alice Coltrane,,['Alice Coltrane']
Luca Schönfeld,Luca Schönfeld,['Luca Schönfeld']
"Fat Nick,Landon Cube,Delmar,Cayle Sain,Shakewell,Rocci",Fat Nick/Landon Cube/Delmar/Cayle Sain/Shakewell/Rocci,"['Fat Nick', 'Landon Cube', 'Delmar', 'Cayle Sain', 'Shakewell', 'Rocci']"
Manuel E. Toscano,Manuel E. Toscano,['Manuel E. Toscano']
Evert Renteria Gomez,Evert Renteria Gomez,['Evert Renteria Gomez']
SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,,"['SIMON JOE', 'USA 1 - CNTRY', 'SPEER MARC DAVID']"
"<Unknown>/Monti, Daniel",Monti/Daniel,"['<Unknown>', 'Monti', 'Daniel']"
CA BURTON CATHY LOUISE/CA GERASIMOV KONSTANTIN/CA NITZAN RAZ/PA COSTA & CATHY BURTON,BURTON/THY/LOUISE/GERASIMOV/KONSTANTIN/NITZAN/RAZ/PA/COSTA/&/THY/BURTON,"['CA BURTON CATHY LOUISE', 'CA GERASIMOV KONSTANTIN', 'CA NITZAN RAZ', 'PA COSTA', 'CATHY BURTON']"
Zain Effendi,Zain Effendi,['Zain Effendi']
CA CLAESSEN BART J H/PA COPYRIGHT CONTROL,CLAESSEN BART J H,"['CA CLAESSEN BART J H', 'PA COPYRIGHT CONTROL']"
伊藤賢治,,['伊藤賢治']
"Nikos Gatsos, Giorgos Hadjinasios & Jose Maria Puron",Nikos Gatsos/Giorgos Hadjinasios/ Jose Maria Puron,"['Nikos Gatsos', 'Giorgos Hadjinasios', 'Jose Maria Puron']"
Rob King/Paul Romero,Rob King/Paul Romero,"['Rob King', 'Paul Romero']"
Sheryl Crow/Bill Bottrell/David Bearwald/David Ricketts/Brian S. Mcleod/Kevin M. Gilbert,Sheryl Crow/Bill Bottrell/David Bearwald/David Ricketts/Brian S. Mcleod/Kevin M. Gilbert,"['Sheryl Crow', 'Bill Bottrell', 'David Bearwald', 'David Ricketts', 'Brian S. Mcleod', 'Kevin M. Gilbert']"
Massaru,Massaru,['Massaru']
Andrew Thomas/Jonny Lattimer/Sinead Harnett/James Wolujewicz/Peter Lawrie Winfield,Andrew Thomas/Jonny Lattimer/Sinead Harnett/James Wolujewicz/Peter Lawrie Winfield,"['Andrew Thomas', 'Jonny Lattimer', 'Sinead Harnett', 'James Wolujewicz', 'Peter Lawrie Winfield']"
Marlon Ermix Fortín,Marlon Ermix Fortín,['Marlon Ermix Fortín']
Noreiga Jonathan,Noreiga Jonathan,['Noreiga Jonathan']
Busy Signal,Busy Signal,['Busy Signal']
